Type,Categorie/Mission,Poste/Programme,Budget_Actuel_G€
Depense,Enseignement Scolaire,P140 - Enseignement public du premier degré,26.5
Depense,Enseignement Scolaire,P141 - Enseignement public du second degré,39.0
Depense,Enseignement Scolaire,P230 - Vie de l'élève,6.5
Depense,Enseignement Scolaire,P139 - Enseignement privé,9.0
Depense,Enseignement Scolaire,P214 - Soutien de la politique de l'éducation nationale,3.0
Depense,Défense,P178 - Préparation et emploi des forces,15.0
Depense,Défense,P146 - Équipement des forces,19.0
Depense,Défense,P144 - Environnement et prospective de la politique de défense,3.2
Depense,Défense,P212 - Soutien de la politique de défense,5.8
Depense,Sécurités,P176 - Police nationale,12.5
Depense,Sécurités,P152 - Gendarmerie nationale,11.5
Depense,Sécurités,P207 - Sécurité et éducation routières,1.0
Depense,Justice,P166 - Justice judiciaire,5.2
Depense,Justice,P107 - Administration pénitentiaire,4.8
Depense,Justice,P182 - Protection judiciaire de la jeunesse,1.2
Depense,"Solidarité, insertion et égalité des chances",P304 - Inclusion sociale et lutte contre la pauvreté,14.2
Depense,"Solidarité, insertion et égalité des chances",P157 - Handicap et dépendance,16.5
Depense,Santé,"P183 - Protection maladie (AME, etc.)",1.4
Depense,Santé,"P204 - Prévention, sécurité sanitaire et offre de soins",0.8
Depense,Travail et emploi,P102 - Accès et retour à l'emploi,13.5
Depense,Travail et emploi,P103 - Accompagnement des mutations économiques et développement de l'emploi,5.2
Depense,"Écologie, développement et mobilité durables",P203 - Infrastructures et services de transports,5.1
Depense,"Écologie, développement et mobilité durables","P174 - Énergie, climat et après-mines",6.2
Depense,"Écologie, développement et mobilité durables","P113 - Paysages, eau et biodiversité",1.3
Depense,Recherche et enseignement supérieur,P150 - Formations supérieures et recherche universitaire,16.2
Depense,Recherche et enseignement supérieur,P172 - Recherches scientifiques et technologiques pluridisciplinaires,8.8
Depense,Cohésion des territoires,"P135 - Urbanisme, territoires et amélioration de l'habitat",3.8
Depense,Cohésion des territoires,P119 - Concours financiers aux collectivités territoriales,27.5
Depense,Culture & Médias,P175 - Patrimoines,1.2
Depense,Culture & Médias,P131 - Création,1.0
Depense,Culture & Médias,P180 - Presse et médias,0.9
Depense,Action extérieure de l'État & Aide au développement,P105 - Action de la France en Europe et dans le monde,3.2
Depense,Action extérieure de l'État & Aide au développement,P209 - Solidarité à l'égard des pays en développement,4.5
Depense,"Agriculture, alimentation, forêt et affaires rurales",P149 - Compétitivité et durabilité de l'agriculture,1.9
Depense,"Agriculture, alimentation, forêt et affaires rurales",P206 - Sécurité et qualité sanitaire de l'alimentation,0.9
Recette,Impôts Directs,Impôt sur le revenu (IR),94.5
Recette,Impôts Directs,Impôt sur les sociétés (IS),61.2
Recette,Impôts Indirects,Taxe sur la valeur ajoutée (TVA - Part État),102.8
Recette,Impôts Indirects,Taxe intérieure de consommation sur les produits énergétiques (TICPE - Part État),17.5
Recette,Autres Fiscalités,"Enregistrement, timbres, ISF/IFI et autres taxes directes",28.3
Recette,Recettes Non Fiscales,"Dividendes, produits du domaine de l'État et amendes",24.2
