Type,Categorie/Mission,Poste/Programme,Budget_Actuel_G€,Description
Depense,Enseignement Scolaire,P140 - Enseignement public du premier degré,26.5,"Écoles maternelles et élémentaires : salaires des professeurs des écoles, fonctionnement."
Depense,Enseignement Scolaire,P141 - Enseignement public du second degré,39.0,"Collèges et lycées : salaires des professeurs certifiés et agrégés, fonctionnement."
Depense,Enseignement Scolaire,P230 - Vie de l'élève,6.5,"AESH (accompagnants handicap), assistants d'éducation (pions), bourses, médecine scolaire."
Depense,Enseignement Scolaire,P139 - Enseignement privé,9.0,Financement public des écoles privées sous contrat (principalement les salaires des enseignants).
Depense,Enseignement Scolaire,P214 - Soutien de la politique de l'éducation nationale,3.0,"Administration centrale, rectorats, logistique, organisation des concours et examens."
Depense,Défense,P178 - Préparation et emploi des forces,15.0,"Entraînement des armées, maintien en condition, dissuasion nucléaire, opérations extérieures (OPEX)."
Depense,Défense,P146 - Équipement des forces,19.0,"Achat et modernisation du matériel militaire (avions Rafale, sous-marins, blindés Griffon, munitions)."
Depense,Défense,P144 - Environnement et prospective de la politique de défense,3.2,"Services de renseignement (DGSE), recherche et innovation de défense, diplomatie militaire."
Depense,Défense,P212 - Soutien de la politique de défense,5.8,"Infrastructures militaires, bases de défense, systèmes d'information, gestion des ressources humaines."
Depense,Sécurités,P176 - Police nationale,12.5,"Salaires et équipements des policiers, fonctionnement des commissariats, sécurité publique et maintien de l'ordre."
Depense,Sécurités,P152 - Gendarmerie nationale,11.5,"Salaires et équipements des gendarmes, casernes, sécurité en zone rurale et périurbaine."
Depense,Sécurités,P207 - Sécurité et éducation routières,1.0,"Entretien des radars automatiques, permis de conduire, campagnes nationales de prévention routière."
Depense,Justice,P166 - Justice judiciaire,5.2,"Fonctionnement des tribunaux, salaires des magistrats et greffiers, frais de justice (expertises)."
Depense,Justice,P107 - Administration pénitentiaire,4.8,"Fonctionnement des prisons, salaires des surveillants, construction et rénovation des centres pénitentiaires."
Depense,Justice,P182 - Protection judiciaire de la jeunesse,1.2,"Centres éducatifs fermés, prise en charge et réinsertion des mineurs délinquants."
Depense,"Solidarité, insertion et égalité des chances",P304 - Inclusion sociale et lutte contre la pauvreté,14.2,"Prime d'activité, RSA (compensation à l'État), aide alimentaire, hébergement d'urgence (Samu social)."
Depense,"Solidarité, insertion et égalité des chances",P157 - Handicap et dépendance,16.5,"Allocation aux adultes handicapés (AAH), aides à l'emploi en ESAT."
Depense,Santé,"P183 - Protection maladie (AME, etc.)",1.4,"Aide Médicale d'État (AME) pour les étrangers en situation irrégulière, fonds d'indemnisation."
Depense,Santé,"P204 - Prévention, sécurité sanitaire et offre de soins",0.8,"Financement des Agences Régionales de Santé (ARS), Santé Publique France, campagnes de prévention."
Depense,Travail et emploi,P102 - Accès et retour à l'emploi,13.5,"Subvention à France Travail (ex-Pôle Emploi), missions locales, financement des contrats aidés et de l'apprentissage."
Depense,Travail et emploi,P103 - Accompagnement des mutations économiques et développement de l'emploi,5.2,"Dispositifs d'activité partielle (chômage partiel), FNE-Formation, soutien à la reconversion."
Depense,"Écologie, développement et mobilité durables",P203 - Infrastructures et services de transports,5.1,"Entretien du réseau ferré (SNCF Réseau), des routes nationales non concédées et des canaux."
Depense,"Écologie, développement et mobilité durables","P174 - Énergie, climat et après-mines",6.2,"Chèque énergie, bonus écologique pour véhicules électriques, subventions aux énergies renouvelables."
Depense,"Écologie, développement et mobilité durables","P113 - Paysages, eau et biodiversité",1.3,"Parcs nationaux, financement des agences de l'eau, Office français de la biodiversité (OFB)."
