Categorie,Nom,Impact_Depenses,Impact_Recettes,Description,Intersection_Recettes
Fiscalité & Entreprises,Rétablissement de l'ISF,0.0,3.5,"Taxation des patrimoines immobiliers et financiers supérieurs à 1,3 M€.",
Fiscalité & Entreprises,Suppression de la Flat Tax (PFU),0.0,1.5,Retour au barème progressif de l'impôt pour les revenus du capital.,
Fiscalité & Entreprises,Taxe sur les superprofits (One-off),0.0,12.0,Taxation exceptionnelle de 33% sur les bénéfices des énergéticiens et grands groupes.,
Fiscalité & Entreprises,"Baisse des impôts de production (CVAE, C3S)",0.0,-8.0,Suppression totale des impôts pesant sur la production des entreprises pour la compétitivité.,
Fiscalité & Entreprises,Légalisation et taxation du cannabis,-0.5,2.5,"Création d'une filière d'État, baisse des frais de justice/police et nouvelles recettes fiscales.",
Fiscalité & Entreprises,Taxe sur les transactions financières (Tobin),0.0,5.0,"Hausse de la TTF à 0,3% élargie au trading haute fréquence et aux produits dérivés.",
Fiscalité & Entreprises,Suppression du Crédit Impôt Recherche (CIR),0.0,7.0,Annulation de cette niche fiscale jugée inefficace pour les grandes entreprises.,
Fiscalité & Entreprises,Suppression des droits de succession (jusqu'à 1M€),0.0,-4.0,Exonération quasi-totale des impôts sur l'héritage pour les classes moyennes et supérieures.,
Fiscalité & Entreprises,Taxe sur les rachats d'actions (1%),0.0,1.0,Pénalisation des entreprises qui rachètent leurs propres actions pour gonfler leur cours en bourse.,
Fiscalité & Entreprises,Désocialisation totale des heures supplémentaires,0.0,-2.0,Suppression totale des cotisations patronales et salariales sur les heures sup.,
Social,Désindexation des retraites sur l'inflation,-3.5,0.0,Gel ou sous-indexation des pensions de retraite pour freiner la dynamique des dépenses.,
Social,Revenu universel de base (500€/mois),45.0,0.0,Versement inconditionnel (net du remplacement du RSA et prime d'activité).,
Social,Hausse du RSA de 20%,2.5,0.0,Revalorisation des minima sociaux face à l'inflation.,
Social,Conditionnement du RSA à 15h d'activité,-1.0,0.0,Baisse du nombre d'allocataires via radiations et meilleur retour à l'emploi.,
Social,Suppression des allocations familiales au-dessus de 5000€/mois,-0.8,0.0,Fin de l'universalité des allocs pour les hauts revenus.,
Social,Suppression de l'Aide Médicale d'État (AME),-1.2,0.0,Remplacement par une aide médicale d'urgence stricte (AMU).,
Social,Réduction de 25% de la durée d'indemnisation chômage,-4.0,0.0,Durcissement des règles de l'assurance chômage pour forcer le retour rapide à l'emploi.,
Social,Création d'un Service Public de la Petite Enfance,5.0,0.0,Création massive de places en crèche 100% publiques.,
Social,Nationalisation des EHPAD privés lucratifs,2.5,0.0,Rachat des groupes privés (type Orpea) pour créer un grand service public du grand âge.,
Social,Hausse de la franchise médicale à 2€,-1.5,0.0,Doublement du reste à charge sur les boîtes de médicaments et les consultations.,
État & Fonction Publique,Passage aux 32 heures (Semaine de 4 jours),4.0,-1.5,Embauches supplémentaires dans le public et baisse de cotisations perçues dans le privé.,
État & Fonction Publique,Baisse des subventions aux associations,-1.5,0.0,Coupe budgétaire transversale sur le financement du milieu associatif.,
État & Fonction Publique,Division par 2 des subventions syndicales et patronales,-0.1,0.0,Baisse du financement public des partenaires sociaux.,
État & Fonction Publique,Suppression du Sénat et du CESE,-0.4,0.0,Réforme constitutionnelle pour un parlement monocaméral.,
État & Fonction Publique,Fin de la subvention aux écoles privées sous contrat,-8.0,0.0,L'État cesse de payer les salaires des professeurs du privé.,
État & Fonction Publique,Frais d'inscription à l'Université (3000€/an),0.0,2.0,Fin de la quasi-gratuité de la fac pour les étudiants non-boursiers.,
État & Fonction Publique,Plan massif pour l'Hôpital Public,5.0,0.0,"Réouverture de lits, embauches massives d'infirmiers et revalorisation des gardes.",
État & Fonction Publique,Suppression des Départements,-3.0,0.0,Simplification du millefeuille territorial. Transfert des compétences aux Régions.,
État & Fonction Publique,Réduction de 50% du nombre de parlementaires,-0.2,0.0,Mesure symbolique pour réduire le coût des institutions.,
Écologie & Transports,Plan de rénovation thermique massif (1M de logements/an),10.0,0.0,Prise en charge à 100% pour les plus modestes (reste à charge 0).,
Écologie & Transports,Gratuité des transports en commun régionaux,3.5,0.0,"Compensation par l'État du manque à gagner pour les régions (TER, métros).",
Écologie & Transports,Nationalisation des autoroutes,2.5,3.0,Rachat des concessions et récupération des péages.,
Écologie & Transports,Taxe carbone aux frontières de la France,0.0,4.0,Taxe douanière sur les produits hors UE fortement émetteurs.,
Écologie & Transports,Relance d'un programme de 10 nouveaux réacteurs EPR,4.0,0.0,Investissement massif de l'État (via EDF) dans le nucléaire.,
Écologie & Transports,Suppression des subventions aux énergies fossiles,-3.5,0.0,Fin de la détaxation du gazole routier et agricole.,
Écologie & Transports,Taxe ciblée sur les billets d'avion (Frequent Flyer),0.0,2.5,Taxation exponentielle à partir du 2ème vol annuel.,
Écologie & Transports,"TVA à 5,5% sur les billets de train",0.0,-0.5,Incitation fiscale pour reporter les voyageurs vers le rail.,
Écologie & Transports,Conditionnement des aides aux entreprises (Critères verts),-3.0,0.0,Suppression des subventions pour les entreprises polluantes.,
Défense & Souveraineté,Passage du budget de la Défense à 3% du PIB,14.0,0.0,"Économie de guerre, réarmement lourd, nouvelles brigades.",
Défense & Souveraineté,Rétablissement du Service Militaire Obligatoire (6 mois),4.5,0.0,"Encadrement, infrastructures et solde pour l'ensemble d'une classe d'âge.",
Défense & Souveraineté,Frexit / Baisse contribution à l'UE,-8.0,-6.0,Baisse de la contribution nette mais perte de financements européens (PAC).,
Défense & Souveraineté,Préférence nationale pour les aides sociales,-4.0,,Conditionner les aides familiales et le RSA à 5 ans de présence légale.,0.0
Défense & Souveraineté,Construction de 30 000 places de prison,3.0,0.0,Plan immobilier carcéral massif pour appliquer les peines fermes.,
Défense & Souveraineté,Légalisation et taxation de la prostitution,0.0,1.0,"Encadrement strict, suivi sanitaire, et prélèvement d'impôts.",
Privatisations & Ventes,"Privatisation de l'Audiovisuel Public (France TV, Radio France)",-4.0,1.0,"Suppression de la dotation, vente ponctuelle lissée.",
Privatisations & Ventes,"Vente des participations de l'État (Renault, Air France, ADP)",-1.5,0.0,"Le fruit de la vente rembourse la dette, faisant baisser les intérêts annuels.",
Mesures Historiques (Ve République),Création de la CSG (Rocard 1990),0.0,25.0,Création d'un impôt proportionnel sur l'ensemble des revenus pour financer la Sécurité Sociale.,
Mesures Historiques (Ve République),Suppression de la vignette automobile (Fabius 2000),0.0,-2.0,Suppression de la taxe annuelle sur les véhicules.,
Mesures Historiques (Ve République),Bouclier fiscal à 50% (Sarkozy 2007),0.0,-0.7,Plafonnement des impôts directs à 50% des revenus d'un contribuable.,
Mesures Historiques (Ve République),"TVA à 5,5% dans la restauration (Sarkozy 2009)",0.0,-3.0,Baisse ciblée de la TVA pour soutenir l'emploi dans l'hôtellerie-restauration.,
Mesures Historiques (Ve République),Surtaxe sur les très hauts revenus (Fillon 2011),0.0,0.5,Contribution exceptionnelle de 3 à 4% sur les revenus > 250 000€.,
Mesures Historiques (Ve République),CICE - Crédit d'impôt (Hollande 2013),0.0,-20.0,Baisse massive de la fiscalité des entreprises pour baisser le coût du travail.,
Mesures Historiques (Ve République),Suppression de la Taxe d'Habitation (Macron 2018),18.0,0.0,Fin de cet impôt local pour 100% des foyers. L'État doit compenser les communes.,
